"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Eddie",1996,100,30000000,4.9,1348,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Edgeplay",2004,110,80000,7.2,17,14.5,4.5,0,0,4.5,4.5,4.5,0,4.5,45.5,"",0,0,0,0,1,0,0
"Edges of the Lord",2001,95,7500000,7,639,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,0,0
"Edtv",1999,122,60000000,6.2,10085,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Edward Scissorhands",1990,105,20000000,7.7,27017,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,1,0
"Eight Legged Freaks",2002,99,30000000,5.5,6362,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Eighteenth Angel, The",1998,95,25000000,4.6,557,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Election",1999,103,8500000,7.4,17521,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"Elektra",2005,96,43000000,4.9,5120,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Elephant",2003,81,3000000,7.3,9203,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Elevator Movie",2004,95,25000,6.1,13,24.5,0,0,0,4.5,0,0,4.5,0,64.5,"",0,0,0,1,0,0,0
"Elf",2003,95,33000000,7,10165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,0,0
"Elizabeth",1998,124,25000000,7.6,14733,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Ella Enchanted",2004,96,35000000,6.5,2502,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG",0,0,1,0,0,1,0
"Elvira's Haunted Hills",2001,90,1500000,5.2,307,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Embalmer, The",1996,85,50000,1.4,22,34.5,14.5,4.5,0,0,0,14.5,0,0,24.5,"",0,0,0,0,0,0,0
"Embrace of the Vampire",1994,93,800000,4.2,1551,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"Emma",1996,121,6000000,6.9,6431,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,0,0,1,0
"Emmett's Mark",2002,104,4500000,6.2,427,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Emperor's Club, The",2002,109,12500000,6.7,3056,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Emperor's New Groove, The",2000,78,100000000,7.4,8532,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0
"Empire",2002,90,3500000,6,1718,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"En la puta vida",2001,103,1500000,6.9,117,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,1,0,0,0
"End of Days",1999,121,83000000,5.3,18237,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,60000,7.6,42,4.5,0,4.5,0,4.5,4.5,4.5,24.5,14.5,34.5,"",0,0,0,0,1,0,0
"End of Violence, The",1997,122,5000000,5.4,1575,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"End of the Affair, The",1999,102,23000000,7,4808,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"Enemy at the Gates",2001,131,70000000,7.3,19169,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"R",1,0,0,1,0,1,0
"Enemy of the State",1998,131,90000000,7.1,23263,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,1,0,0,0
"English Patient, The",1996,160,27000000,7.1,25210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Enough",2002,115,38000000,4.9,4339,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Enraged New World, An",2002,50,3500,8.9,25,24.5,4.5,0,0,0,4.5,4.5,4.5,4.5,44.5,"",1,0,0,0,0,0,0
"Entrapment",1999,113,66000000,6.1,18543,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Envy",2004,99,40000000,4.3,3417,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Equilibrium",2002,107,20000000,7.6,17579,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",1,0,0,0,0,0,0
"Era of Vampire, The",2002,90,1000000,4.2,329,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Eraser",1996,115,100000000,5.8,14641,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Erin Brockovich",2000,130,51000000,7.3,24301,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Ernest Rides Again",1993,96,7000000,3.6,250,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Err On the Side of Caution",1997,94,500000,6,5,0,0,0,0,0,24.5,0,24.5,24.5,44.5,"",0,0,0,1,0,0,0
"Escanaba in da Moonlight",2001,91,1000000,5.5,373,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"PG-13",0,0,1,0,0,0,0
"Escape from Chernobourg",1999,75,2000,3.7,18,24.5,0,0,0,4.5,4.5,4.5,4.5,14.5,44.5,"",1,0,1,0,0,0,0
"Escape from L.A.",1996,101,50000000,4.8,7955,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Espera, La",2002,72,100000,8.8,15,4.5,0,0,0,0,4.5,14.5,24.5,34.5,24.5,"",0,0,0,1,0,0,0
"Espinazo del diablo, El",2001,108,4500000,7.4,3474,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Eternal Embrace",2000,47,96000,9.6,5,0,0,0,0,0,0,0,0,44.5,64.5,"",0,0,0,0,0,1,0
"Eternal Sunshine of the Spotless Mind",2004,108,20000000,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,1,1,0,1,0
"Eulogy",2004,91,10000000,6.5,773,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0
"EuroTrip",2004,90,25000000,6.1,8390,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Eve's Bayou",1997,109,5000000,7.2,2302,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Evelyn",2002,94,10000000,7.1,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,0,1,0,0,0
"Even Cowgirls Get the Blues",1993,99,8000000,4,1609,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",0,0,1,1,0,1,0
"EvenHand",2002,92,500000,7.3,169,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,"R",0,0,0,1,0,0,0
"Event Horizon",1997,96,70000000,5.7,15510,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Ever After",1998,121,26000000,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,1,1,0,1,0
"Everlasting Piece, An",2000,103,14000000,6.1,475,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Everyone Says I Love You",1996,101,20000000,6.9,7314,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,0,0,1,0
"Everything Is Everything",2003,87,10000,8.3,15,14.5,0,0,0,0,0,0,24.5,14.5,45.5,"",0,0,1,0,0,0,0
"Everything Put Together",2000,87,500000,7.1,151,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Everything's Jake",2000,92,900000,6.7,12,34.5,0,0,0,14.5,0,4.5,14.5,0,24.5,"",0,0,1,1,0,0,0
"Evil Alien Conquerors",2002,89,500000,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Evil Cult",2003,90,15000,6.7,17,4.5,4.5,0,4.5,4.5,0,14.5,4.5,4.5,44.5,"",1,0,1,0,0,0,0
"Evita",1996,134,55000000,6.2,8371,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"PG",0,0,0,1,0,0,0
"Evolution",2001,101,80000000,5.8,14232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Excessive Force",1993,90,13000000,4.2,214,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Executive Decision",1996,134,55000000,6.3,7653,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Exit Wounds",2001,101,33000000,5.3,5370,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Exorcist: The Beginning",2004,114,30000000,5,4130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Expiration",2003,102,50000,6.6,206,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",0,0,0,1,0,1,0
"Exquisite Corpse",2004,60,3500,8.9,16,0,0,0,0,0,0,24.5,4.5,14.5,45.5,"",0,0,1,1,0,0,0
"Extreme Measures",1996,118,38000000,5.9,3417,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Extreme Ops",2002,94,40000000,4,1337,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Eye for an Eye",1996,101,20000000,5.6,1843,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Eye of the Beholder",1999,109,15000000,4.5,5549,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Eyes Wide Shut",1999,159,65000000,7,37868,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Facade",2000,93,6000000,4.8,93,24.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Face to Face",2003,92,8000,6,9,24.5,0,0,0,14.5,14.5,24.5,24.5,0,14.5,"",0,0,0,1,0,0,0
"Face/Off",1997,133,80000000,7.1,37506,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Factotum",2005,94,1000000,6.8,60,14.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,0,0
"Faculty, The",1998,104,15000000,6.1,13143,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fahrenheit 9/11",2004,122,6000000,7.9,34666,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"R",0,0,0,0,1,0,0
"Fair Game",1995,91,50000000,3.9,2579,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,1,1,0,0,0
"Faithful",1996,91,13000000,5.6,414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"Fake ID",2003,86,100000,3.6,41,4.5,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Fakers",2004,85,1800000,5.6,58,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,14.5,34.5,"",0,0,1,0,0,0,0
"Fall",1997,93,1000000,5.1,495,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,"",0,0,0,1,0,1,0
"Fall",2000,97,2000000,1.5,249,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",1,0,0,0,0,0,0
"Falls, The",2003,85,75000,5.7,29,14.5,4.5,4.5,0,0,14.5,4.5,14.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Family Man, The",2000,125,60000000,6.5,11220,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Fan, The",1996,114,55000000,5.4,6920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fandom",2004,96,5000,9.2,12,0,0,0,0,0,0,0,34.5,14.5,45.5,"",0,0,0,1,1,0,0
"Fantasia/2000",1999,75,80000000,7.4,5353,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,1,0,0,0,0,0
"Fantasma dell'opera, Il",1998,106,10000000,3.8,910,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,1,0,1,0
"Far and Away",1992,140,30000000,6.2,8556,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Far from Heaven",2002,107,13500000,7.7,9167,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,1,0
"Far from India",2003,101,10000,6.1,13,14.5,0,4.5,0,14.5,0,34.5,14.5,0,14.5,"",0,0,0,1,0,1,0
"Fargo",1996,98,7000000,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,1,0,0,0
"Fascination",2004,95,5000000,3.3,124,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,1,0,1,0
"Fast Food High",2003,92,4500000,5.4,23,14.5,0,4.5,14.5,14.5,4.5,14.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0
"Fast and the Furious, The",2001,106,38000000,5.7,21428,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"PG-13",1,0,0,0,0,0,0
"Father of the Bride Part II",1995,106,30000000,5.6,4089,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Fathers' Day",1997,98,85000000,4.7,2714,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Faust: Love of the Damned",2001,101,6000000,4.1,628,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fear X",2003,91,6600000,5.9,742,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"Fear and Loathing in Las Vegas",1998,118,18500000,7.2,21484,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",0,0,1,1,0,0,0
"Fear of the Dark",2001,150,30000,5.5,10,14.5,0,0,14.5,14.5,24.5,0,24.5,0,34.5,"",0,0,0,1,0,0,0
"FearDotCom",2002,101,42000000,3.2,5126,34.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Federal Hill",1994,97,80000,6.1,139,4.5,4.5,0,4.5,14.5,14.5,24.5,24.5,4.5,14.5,"",0,0,0,0,0,0,0
"Fei ying",2004,99,15000000,5.5,128,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,"",1,0,0,0,0,0,0
"Femme Fatale",2002,114,35000000,6.4,6083,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Feng yun xiong ba tian xia",1998,85,10000000,6.3,922,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"PG-13",1,0,0,0,0,0,0
"Festen",1998,105,1300000,8.2,11983,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"R",0,0,0,1,0,0,0
"Fever",1999,95,6000000,5.7,248,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Fever Pitch",2005,98,39690000,6.6,1712,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,1,0,0,1,0
"Few Good Men, A",1992,138,33000000,7.5,25237,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Fifteen Minute Show, The",2003,87,3500,8.9,7,0,0,0,0,0,0,14.5,14.5,44.5,24.5,"",0,0,1,0,0,0,0
"Fifth Element, The",1997,126,90000000,7.1,55398,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Fight Club",1999,139,63000000,8.5,112092,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,"R",0,0,0,1,0,0,0
"Film Geek",2005,78,10000,9.3,7,0,0,0,0,0,0,14.5,0,24.5,45.5,"",0,0,1,0,0,0,0
"Film School Confidential",2002,82,75000,6.4,17,0,0,4.5,0,4.5,14.5,44.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Final",2001,111,80000,5.2,330,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Final Destination",2000,98,23000000,6.6,16504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Final Destination 2",2003,90,26000000,6.3,8481,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Final Fantasy: The Spirits Within",2001,106,137000000,6.5,16451,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",1,1,0,0,0,0,0
"Final Solution",2001,110,1500000,7,32,0,4.5,0,0,4.5,4.5,34.5,14.5,14.5,24.5,"R",1,0,0,1,0,0,0
"Finding Forrester",2000,136,43000000,7.3,13439,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"Finding Graceland",1998,106,10000000,6.6,504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"Finding Nemo",2003,100,94000000,8.3,41846,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,1,1,1,0,0,0
"Fintar o Destino",1998,77,850000,6.2,16,0,0,4.5,4.5,14.5,14.5,14.5,4.5,14.5,14.5,"",0,0,0,1,0,0,0
"Fire Dancer",2002,79,1000000,8.2,5,0,0,0,0,0,0,44.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"Fire Over Afghanistan",2003,92,155000,4.5,67,24.5,4.5,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,"R",1,0,0,1,0,0,0
"Firestorm",1998,89,19000000,4.4,987,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Firm, The",1993,154,42000000,6.6,14708,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"First Knight",1995,134,75000000,5.6,8708,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"First Love, Last Rites",1997,94,300000,5,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,1,0
"First Power, The",1990,98,10000000,4.8,513,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"First Wives Club, The",1996,103,26000000,5.6,6434,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"First of May, The",1999,111,2500000,7.1,88,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,4.5,34.5,"",0,0,0,1,0,0,0
"Fish in a Barrel",2001,85,200000,5.5,59,14.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,14.5,24.5,"",0,0,1,1,0,0,0
"Fisher King, The",1991,137,24000000,7.4,11952,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,1,1,0,1,0
"Fiza",2000,167,1000000,7.1,132,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,24.5,"",0,0,0,1,0,0,0
"Flats, The",2002,102,500000,7.2,19,4.5,0,4.5,4.5,4.5,14.5,4.5,34.5,14.5,14.5,"",0,0,1,1,0,0,0
"Flawless",1999,112,27000000,6.1,3287,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Flesh Suitcase",1995,90,1000000,5.2,28,4.5,4.5,4.5,0,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,0,0,0,0,0
"Flight of the Phoenix",2004,113,45000000,6,2732,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Flintstones in Viva Rock Vegas, The",2000,90,58000000,3.7,1712,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"PG",0,0,1,0,0,0,0
"Flintstones, The",1994,91,45000000,4.5,8704,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Flirting with Disaster",1996,92,7000000,7,3986,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,0,0,0,0
"Flossin",2001,81,86000,7.9,7,14.5,0,0,0,0,14.5,0,0,24.5,44.5,"PG-13",0,0,0,0,0,0,0
"Flying Dutchman, The",2001,89,2000000,3.6,59,34.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Follow Me Home",1996,100,220000,7.6,52,4.5,0,0,0,4.5,4.5,4.5,4.5,4.5,64.5,"",0,0,0,1,0,0,0
"Follow Me Outside",2000,94,1000000,4.6,12,0,4.5,14.5,4.5,0,4.5,0,14.5,4.5,34.5,"",0,0,0,0,0,0,0
"Following",1998,69,6000,7.6,3197,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"R",0,0,0,0,0,0,0
"Fomlesen i kattepine",1999,83,2400000,4.6,18,24.5,14.5,4.5,14.5,24.5,14.5,0,4.5,0,0,"",0,0,0,0,0,0,0
"For Love of the Game",1999,137,50000000,6.1,5782,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Foreign Correspondents",1999,102,500000,7.6,117,4.5,0,0,4.5,4.5,4.5,4.5,14.5,14.5,44.5,"PG-13",0,0,0,1,0,1,0
"Foreigner, The",2003,96,20000000,3.1,904,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Forever Lulu",2000,99,20000000,5.5,257,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,1,0
"Forgotten, The",2004,94,42000000,5.8,8234,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Forrest Gump",1994,142,55000000,8.2,89722,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"PG-13",0,0,1,1,0,0,0
"Forsaken, The",2001,90,5000000,5.1,1928,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"Fortress",1993,95,12000000,5.3,2577,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Fortress 2",1999,92,11000000,4.2,1027,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Forty Shades of Blue",2005,108,1500000,4.2,57,4.5,24.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,"",0,0,0,0,0,0,0
"Four Dead Batteries",2004,96,77000,8.7,19,4.5,0,0,0,0,0,14.5,14.5,24.5,44.5,"",0,0,1,0,0,0,0
"Four Feathers, The",2002,125,80000000,6.2,4400,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Four Rooms",1995,98,4000000,6,10675,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"R",0,0,1,1,0,0,0
"Four Weddings and a Funeral",1994,117,6000000,7.2,17820,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,1,0
"Frailty",2001,100,11000000,7.4,10551,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Frankenfish",2004,84,3000000,4.6,309,14.5,14.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,14.5,"R",1,0,1,0,0,0,0
"Frankenhooker",1990,85,2500000,5,520,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Frankenstein",1994,123,45000000,6,6941,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Freaked",1993,86,11000000,5.4,920,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,0,0,0,0
"Freaky Friday",2003,97,26000000,6.9,8052,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,"PG",0,0,1,1,0,0,0
